PPARG	NFATC2	BCL6	MAFB	PRDM1	SNAI3	EGR2	ETS1	STAT1	FOS	NFYC	IRF8	TCF3	PPARD	SNAI1
15.4465847	12.1965898	15.5647024	15.8119604	10.6273233	8.128963	11.6396836	7.485042	12.0206259	15.5663661	12.3068144	11.1063697	11.7222092	12.4872317	8.4406518
15.3315701	9.5642084	11.45215	10.5357076	10.5278192	3.8163988	12.3038968	7.002226	14.992877	14.5010953	14.2033541	12.7336065	10.394179	13.1180878	15.1516336
13.4914187	10.0531807	12.9207427	17.2035267	14.3598995	3.9868407	33.9371175	8.3552799	11.8130496	13.5358958	16.7541597	11.8102344	15.2839114	13.7829391	3.9868407
4.3237456	14.1009906	4.3237456	13.3751005	15.0027191	14.681532	4.3237456	8.9342224	11.7371045	13.4874589	14.088021	4.3237456	11.6405566	15.3501323	10.4678644
11.5695737	15.949577	4.0634663	4.0634663	12.8548519	11.1134799	4.0634663	4.0634663	10.943886	10.8640486	11.1041083	13.9842174	4.0634663	11.4706535	9.8571134
4.1183171	13.969752	4.1183171	4.1183171	4.1183171	4.1183171	4.1183171	6.9201923	16.0024635	4.1183171	12.9317011	14.717617	11.4700019	12.9732341	4.1183171
10.1931267	15.8887594	13.1583484	3.8200505	3.8200505	10.7828773	3.8200505	3.8200505	12.2947133	13.0733315	11.7189339	3.8200505	11.5368146	8.5991152	3.8200505
3.5107244	10.0088648	8.8323583	12.0681023	7.4299645	3.5107244	3.5107244	5.4565494	11.5370249	12.6961202	10.8722383	11.6057133	8.3304876	11.1236314	3.5107244
4.0611112	13.6563448	11.3404271	4.0611112	4.0611112	4.0611112	4.0611112	7.0659616	11.6797173	9.5686599	12.1810593	10.5521326	9.6196261	11.8077909	4.0611112
9.9392581	13.0597949	10.7354236	3.9744075	3.9744075	10.8733128	3.9744075	7.5002555	11.0595599	11.1206036	15.2409073	13.7423135	11.4720701	14.2572453	3.9744075
11.1149499	10.8869403	10.1190311	7.5654682	7.8433298	3.7071355	3.7071355	7.4417221	11.063937	10.082538	13.0813658	15.4361501	13.1871939	11.4008073	8.2611562
4.005011	13.9878835	13.1555513	4.005011	9.850832	4.005011	4.005011	8.3679689	11.3657116	9.6425144	4.005011	11.9800533	9.8693858	14.4108234	4.005011
11.6485395	10.0369909	13.6974651	15.764351	3.7417655	10.6528576	14.6120781	8.3530112	11.3706001	11.2017307	15.1093332	12.8815808	13.2417524	15.5358837	8.711815
11.4916176	9.7285087	10.2830509	10.079773	8.5266317	10.4834623	10.0487816	6.5249871	13.7501589	16.1521817	13.8195483	12.6916595	11.2478215	11.1149242	9.2827513
11.9727172	3.6529874	13.5800679	3.6529874	3.6529874	10.5977321	12.0734166	6.9029977	13.1351641	11.7210905	14.3090559	12.2909372	10.0928757	12.3977774	10.2431026
12.7668048	12.7486434	13.2356083	9.4398518	9.0638542	10.3292072	12.3021437	6.8536019	12.7536333	16.2929284	15.8198245	12.0458886	9.5612708	16.9648388	11.1602997
3.9016261	11.0542323	3.9016261	20.999576	8.9607616	3.9016261	16.4484674	5.9902199	11.0956914	14.0148321	17.1134843	12.3207322	11.6095216	11.8770809	9.940636
