PPARG	NFATC2	BCL6	MAFB	PRDM1	SNAI3	EGR2	ETS1	STAT1	FOS
3.874235	10.0919001	10.8013065	8.1595266	7.3671446	10.4827458	3.874235	9.3285385	8.6649252	3.874235
13.4366185	12.0603518	11.8308691	3.8562671	10.4477507	3.8562671	3.8562671	3.8562671	12.1911297	15.3169956
10.1726122	3.8508211	3.8508211	6.9736202	10.2521038	3.8508211	11.0053562	7.4354541	14.336412	16.2989259
10.0342734	15.0825879	3.996369	3.996369	11.675677	3.996369	3.996369	3.996369	11.0398234	10.773807
14.5543444	9.7378696	15.8036379	12.8050121	3.7390369	10.5512902	13.8217696	7.9866321	13.3679491	12.4588336
4.0738073	11.9706692	4.0738073	4.0738073	10.7796585	4.0738073	4.0738073	10.0318566	13.9800193	10.86551
3.9726457	3.9726457	21.7370383	3.9726457	9.9879788	3.9726457	12.5699807	3.9726457	16.8007379	14.9618708
10.6801263	10.3658868	14.0726915	9.5673065	9.5950442	16.29642	10.3800097	6.4084814	13.1729479	22.3959905
3.9924118	9.280127	3.9924118	8.6251499	11.5949592	13.6902629	3.9924118	3.9924118	14.3791741	9.8198806
3.9573112	12.5766098	3.9573112	3.9573112	9.1114885	16.5873855	3.9573112	8.463372	11.9479853	10.2489035
4.0448917	12.7971778	4.0448917	9.1730782	9.7741656	4.0448917	4.0448917	4.0448917	11.8910646	4.0448917
10.5011383	11.5866853	12.6710925	8.9638533	7.4626513	3.9390425	13.0588595	6.0317712	10.9138136	16.1724299
3.8940077	11.78368	8.2946787	3.8940077	10.7074848	3.8940077	3.8940077	3.8940077	11.5810625	11.1530721
3.9097937	12.5011255	3.9097937	3.9097937	9.0387818	14.5911807	3.9097937	3.9097937	10.6608242	8.9626641
9.3555338	10.968241	13.9697695	10.988099	10.9538106	3.6932955	12.5036421	7.3838595	14.3746911	12.945537
12.9375981	9.415342	10.8295255	3.9145858	7.5110905	3.9145858	3.9145858	7.2013542	14.3268672	11.7930432
3.9451304	11.4726049	13.0570405	8.873889	3.9451304	14.8351775	3.9451304	7.5377534	10.9912231	9.6479157
12.6135957	10.6672821	4.2150622	12.2898062	12.9557924	4.2150622	4.2150622	4.2150622	11.362403	4.2150622
11.5025318	12.3825491	4.0566172	7.658677	10.5433379	13.264103	4.0566172	4.0566172	11.4215454	10.8355787
3.9577289	12.984606	9.9631489	3.9577289	8.7543203	3.9577289	3.9577289	3.9577289	11.6338146	3.9577289
3.8275232	10.1959888	3.8275232	3.8275232	9.3627105	9.5379131	3.8275232	3.8275232	11.9625596	9.3990684
4.0673445	9.8898156	4.0673445	4.0673445	4.0673445	14.1402137	4.0673445	4.0673445	10.6054401	10.4835063
10.2564337	8.1336118	3.9008987	3.9008987	3.9008987	3.9008987	3.9008987	6.8361775	10.5266352	9.5582851
11.0151095	11.1003208	3.7270691	11.7794935	10.6275644	3.7270691	11.6502353	8.5774825	12.4771297	10.4313744
12.8905946	11.7229262	8.603252	8.2543704	8.2621466	10.6561491	3.7025829	6.4154163	10.2788508	8.5780919
3.9100614	11.9126636	3.9100614	3.9100614	3.9100614	3.9100614	3.9100614	3.9100614	10.4339748	9.5289778
12.9730897	10.7564038	3.6968124	3.6968124	3.6968124	9.3797023	3.6968124	8.475511	10.9996093	9.152644
15.3687941	13.0139202	14.9792865	15.3429377	8.0899019	3.778969	18.3830059	7.6926227	11.5687495	15.6395184
9.8079376	9.9898772	11.0262744	8.1755871	9.5874569	9.3740629	12.2192242	7.7608817	12.173716	13.0960881
3.9065819	10.6225212	3.9065819	3.9065819	9.0175419	11.4583811	3.9065819	7.5393191	13.1113797	9.4401816
12.9645838	9.5849676	8.6752379	3.8685066	10.9907105	11.0095597	9.2339445	3.8685066	12.0903525	9.3443463
4.06387	10.7425352	4.06387	10.0338386	13.3590027	4.06387	4.06387	7.2646669	12.3573377	10.8243689
14.3151654	10.1657244	10.288815	8.5338227	11.2331763	4.0932414	13.2185082	7.5065746	13.026715	9.9198949
4.0480262	10.4915603	14.0241672	8.9633873	11.0949734	4.0480262	4.0480262	4.0480262	12.2575808	4.0480262
11.304849	9.1651858	10.912913	3.9844596	3.9844596	3.9844596	3.9844596	7.7669967	12.5762941	10.729882
14.0443424	12.9148964	8.5860743	7.5195886	9.4515	9.6546625	8.5411864	6.4103132	12.6610707	8.9511263
11.8419297	11.9549938	8.2822966	3.7557126	6.5158163	9.8944773	3.7557126	8.1998706	11.6260762	9.834228
7.7530611	11.8262634	10.068274	3.677479	10.4195018	3.677479	3.677479	7.4370489	11.2442403	9.9515567
11.1637857	10.8382294	3.808018	8.4158201	8.4436633	3.808018	3.808018	5.2049752	10.6719427	9.5913744
3.8444426	10.122605	19.7966828	11.6885277	10.1817395	9.5865258	18.0099596	8.5748386	11.7075683	15.6458301
4.1561518	13.7769818	13.5721587	4.1561518	4.1561518	4.1561518	4.1561518	4.1561518	13.7835032	14.4796737
4.1089365	4.1089365	4.1089365	4.1089365	11.7475186	4.1089365	4.1089365	7.0446113	8.8093904	4.1089365
15.4465847	12.1965898	15.5647024	15.8119604	10.6273233	8.128963	11.6396836	7.485042	12.0206259	15.5663661
